1518415,2163633,1111304,1535696
2474609,3598166,2691247,4007257
426959,473371,-529106,1145419
3999598,1984775,3975468,2000000
2459256,2951561,2132806,2866452
2925882,2862933,3325001,3024589
3539174,3882566,3132375,3541509
3044887,3798155,3132375,3541509
1792818,3506985,2132806,2866452
3761945,3304667,3325001,3024589
71968,3823892,-1085197,3401157
2902345,3999748,2691247,4007257
2074989,2347435,2132806,2866452
1115220,1782338,1111304,1535696
369130,2348958,1111304,1535696
2525090,1917940,2603675,2276026
2861163,3386968,3132375,3541509
3995081,2010596,3975468,2000000
3038274,534921,4354209,-17303
3646366,2868267,3325001,3024589
3308360,1653497,3975468,2000000
1996072,995783,1111304,1535696
3852158,950900,3975468,2000000
3061849,2428914,2603675,2276026
2788254,3983003,2691247,4007257
694411,1882565,1111304,1535696
2647250,2551966,2603675,2276026
1079431,3166226,2132806,2866452
3929172,2196495,3975468,2000000
3883296,2487406,3975468,2000000
1271911,1529880,1111304,1535696
